price,rating,Dual_Sim,4G,5G,Vo5G,NFC,IR_Blaster,Processor_Brand,Processor_Series,Core_Count,Clock_Speed_GHz,Performance_Tier,RAM Size GB,Storage Size GB,RAM Tier,battery_capacity,fast_charging_power,Screen_Size,Resolution_Width,Resolution_Height,Refresh_Rate,Notch_Type,primary_rear_camera_mp,num_rear_cameras,primary_front_camera_mp,num_front_cameras,memory_card_support,memory_card_size,os_name,os_version,brand
expensive,80.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,8 Gen2,8.0,3.2,Flagship,12.0,256.0,Flagship,4800.0,66,8.03,1916.0,2160.0,120.0,No Notch,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v12,Vivo
non-expensive,60.0,Yes,Yes,No,No,No,No,Helio,22,4.0,2.4,Unknown,2.0,32.0,Budget,5000.0,10,6.52,720.0,1600.0,60.0,Water Drop Notch,8.0,2.0,5.0,1.0,Yes,512 GB,Android,v12,Xiaomi
expensive,73.0,Yes,Yes,No,No,Yes,No,Bionic,13,6.0,2.65,Unknown,4.0,64.0,Mid-Range,3110.0,0,6.1,828.0,1792.0,60.0,Large Notch,12.0,2.0,12.0,1.0,No,1 TB,iOS,v13,Apple
non-expensive,79.0,Yes,Yes,No,No,Yes,No,Snapdragon,680,8.0,2.4,Mid-Range,6.0,128.0,Mid-Range,5000.0,33,6.6,2460.0,1080.0,90.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Motorola
non-expensive,74.0,Yes,Yes,No,No,No,No,Other,612,8.0,1.82,Unknown,4.0,128.0,Mid-Range,5000.0,18,6.6,1080.0,2408.0,60.0,Water Drop Notch,50.0,3.0,8.0,1.0,Yes,1 TB,Android,v11,Realme Narzo
non-expensive,66.0,Yes,Yes,No,No,No,No,Helio,35,8.0,2.3,Unknown,4.0,64.0,Mid-Range,4230.0,0,6.52,720.0,1600.0,60.0,Water Drop Notch,13.0,1.0,5.0,1.0,Yes,256 GB,Android,v11,OPPO
non-expensive,64.0,Yes,Yes,No,No,No,No,Helio,25,8.0,1.8,Unknown,4.0,64.0,Mid-Range,5000.0,0,6.52,720.0,1600.0,60.0,Water Drop Notch,16.0,2.0,8.0,1.0,Yes,256 GB,Android,v11,Tecno
non-expensive,83.0,Yes,Yes,Yes,No,No,No,Snapdragon,6,8.0,2.2,Mid-Range,8.0,128.0,High-End,4800.0,67,6.58,1080.0,2400.0,120.0,Punch Hole,64.0,3.0,32.0,1.0,Yes,1 TB,Android,v13,OPPO
non-expensive,75.0,Yes,Yes,Yes,No,No,No,Dimensity,700,8.0,2.2,Unknown,6.0,128.0,Mid-Range,5000.0,15,6.5,720.0,1600.0,90.0,Water Drop Notch,50.0,2.0,5.0,1.0,Yes,1 TB,Android,v12,Samsung
non-expensive,83.0,Yes,Yes,Yes,No,Yes,Yes,Snapdragon,778,8.0,2.4,Unknown,6.0,128.0,Mid-Range,4250.0,33,6.55,1080.0,2400.0,90.0,Punch Hole,64.0,3.0,20.0,1.0,Yes,1 TB,Android,v11,Xiaomi
non-expensive,75.0,Yes,Yes,Yes,No,No,No,Dimensity,810,8.0,2.4,Unknown,4.0,64.0,Mid-Range,5000.0,18,6.5,1080.0,2400.0,90.0,Punch Hole,48.0,3.0,16.0,1.0,Yes,1 TB,Android,v11,Realme
expensive,75.0,Yes,Yes,Yes,No,Yes,No,Bionic,16,8.0,2.4,Unknown,8.0,128.0,High-End,5000.0,0,6.58,1080.0,2400.0,90.0,Unknown,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v12,Apple
non-expensive,70.0,Yes,Yes,No,No,No,No,Helio,85,8.0,2.4,Unknown,4.0,64.0,Mid-Range,5000.0,0,6.71,720.0,1650.0,60.0,Water Drop Notch,50.0,1.0,5.0,1.0,Yes,512 GB,Android,v12,Poco
non-expensive,82.0,Yes,Yes,No,No,No,No,Snapdragon,730,8.0,2.2,Unknown,8.0,128.0,High-End,4000.0,30,6.4,1080.0,2340.0,60.0,Water Drop Notch,64.0,1.0,32.0,1.0,Yes,256 GB,Android,v9.0,Oppo
non-expensive,75.0,Yes,Yes,No,No,No,Yes,Snapdragon,720,8.0,2.3,High-End,4.0,64.0,Mid-Range,5020.0,18,6.67,1080.0,2400.0,60.0,Punch Hole,48.0,1.0,16.0,1.0,Yes,512 GB,Android,v10.0,Xiaomi
expensive,83.0,Yes,Yes,Yes,No,Yes,No,Bionic,15,6.0,3.22,Unknown,6.0,256.0,Mid-Range,4325.0,0,6.7,1284.0,2778.0,60.0,Small Notch,12.0,2.0,12.0,1.0,No,1 TB,iOS,v16,Apple
expensive,84.0,Yes,Yes,Yes,No,No,Yes,Snapdragon,870,8.0,3.2,Flagship,12.0,256.0,Flagship,4700.0,80,6.62,1080.0,2400.0,120.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,iQOO
non-expensive,73.0,Yes,Yes,No,No,No,No,Snapdragon,665,8.0,2.4,Mid-Range,4.0,64.0,Mid-Range,4500.0,65,6.3,1080.0,2400.0,60.0,Punch Hole,48.0,1.0,13.0,1.0,Yes,256 GB,Android,v10,OnePlus
non-expensive,80.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,750,8.0,2.2,Unknown,6.0,128.0,Mid-Range,5000.0,25,6.6,1080.0,2408.0,120.0,Water Drop Notch,50.0,3.0,8.0,1.0,Yes,1 TB,Android,v12,Samsung
expensive,80.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,8 Gen1,8.0,2.4,Unknown,12.0,512.0,Flagship,5000.0,80,6.7,1440.0,3216.0,120.0,Punch Hole,50.0,3.0,32.0,1.0,Yes,1 TB,Android,v12,OnePlus
non-expensive,74.0,Yes,Yes,No,No,No,No,Helio,99,8.0,2.2,Mid-Range,8.0,256.0,High-End,6000.0,45,6.66,720.0,1600.0,90.0,Water Drop Notch,50.0,1.0,8.0,1.0,Yes,1 TB,Android,v12,Tecno
expensive,88.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,8 Gen2,8.0,3.2,Flagship,8.0,256.0,High-End,5000.0,120,6.78,1440.0,3200.0,144.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,iQOO
non-expensive,80.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,695,8.0,2.2,Mid-Range,6.0,128.0,Mid-Range,5000.0,0,6.8,1080.0,2400.0,60.0,Punch Hole,108.0,3.0,32.0,1.0,Yes,1 TB,Android,v12,Motorola
expensive,80.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,8,8.0,3.2,Flagship,8.0,128.0,High-End,4450.0,125,6.67,1080.0,2400.0,144.0,Punch Hole,200.0,3.0,60.0,1.0,Yes,1 TB,Android,v12,Motorola
non-expensive,82.0,Yes,Yes,No,No,Yes,No,Snapdragon,680,8.0,2.4,Unknown,8.0,128.0,High-End,5000.0,40,6.7,1080.0,2388.0,90.0,Punch Hole,50.0,1.0,8.0,1.0,Yes,1 TB,EMUI,v12,Huawei
non-expensive,84.0,Yes,Yes,Yes,No,No,No,Dimensity,810,8.0,2.4,Unknown,8.0,128.0,High-End,4050.0,44,6.44,1080.0,2400.0,60.0,Water Drop Notch,50.0,3.0,44.0,1.0,Yes,1 TB,Android,v12,Vivo
expensive,87.0,Yes,Yes,Yes,No,Yes,No,Dimensity,1200,8.0,2.4,Unknown,12.0,256.0,Flagship,4500.0,65,6.55,1080.0,2400.0,90.0,Punch Hole,50.0,3.0,32.0,1.0,Yes,1 TB,Android,v11,OPPO
non-expensive,61.0,Yes,Yes,No,No,No,No,Helio,25,8.0,2.4,Unknown,2.0,32.0,Budget,5000.0,0,6.53,720.0,1600.0,60.0,Water Drop Notch,13.0,1.0,5.0,1.0,Yes,512 GB,Android,v10,Xiaomi
non-expensive,84.0,Yes,Yes,Yes,No,No,No,Snapdragon,765,8.0,2.4,High-End,8.0,128.0,High-End,4000.0,33,6.44,1080.0,2400.0,60.0,Small Notch,64.0,3.0,44.0,2.0,Yes,1 TB,Android,v12,Vivo
non-expensive,61.0,Yes,Yes,No,No,No,No,Helio,35,8.0,2.3,Unknown,3.0,32.0,Budget,5000.0,10,6.51,720.0,1600.0,60.0,Water Drop Notch,8.0,1.0,5.0,1.0,Yes,1 TB,Android,v12,Vivo
non-expensive,84.0,Yes,Yes,Yes,No,No,Yes,Dimensity,920,8.0,2.5,Unknown,8.0,128.0,High-End,5100.0,120,6.73,1080.0,2400.0,120.0,Punch Hole,108.0,3.0,32.0,1.0,Yes,1 TB,Android,v13,Poco
non-expensive,82.0,Yes,Yes,Yes,No,No,No,Snapdragon,695,8.0,2.2,Mid-Range,8.0,256.0,High-End,4500.0,33,6.43,1080.0,2400.0,60.0,Punch Hole,48.0,2.0,16.0,1.0,Yes,1 TB,Android,v11,Oppo
expensive,85.0,Yes,Yes,Yes,No,Yes,No,Dimensity,8100,8.0,2.85,Unknown,8.0,128.0,High-End,5000.0,80,6.7,1080.0,2412.0,120.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,OnePlus
expensive,83.0,Yes,Yes,Yes,No,Yes,No,Other,Unknown,8.0,2.4,Unknown,16.0,512.0,Flagship,5000.0,120,6.73,1080.0,2448.0,165.0,No Notch,50.0,3.0,32.0,1.0,No,1 TB,Android,v13,Tesla
non-expensive,71.0,Yes,Yes,No,No,No,No,Exynos,850,8.0,2.4,Unknown,4.0,64.0,Mid-Range,5000.0,15,6.5,720.0,1600.0,90.0,Water Drop Notch,50.0,3.0,5.0,1.0,Yes,1 TB,Android,v12,Samsung
non-expensive,75.0,Yes,Yes,No,No,No,No,Helio,85,8.0,2.4,Unknown,4.0,64.0,Mid-Range,5000.0,20,6.47,1080.0,2400.0,60.0,Punch Hole,50.0,3.0,13.0,1.0,Yes,1 TB,Android,v11,Motorola
expensive,80.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,8,8.0,3.2,Unknown,12.0,1024.0,Flagship,4400.0,25,7.6,1812.0,2176.0,120.0,Punch Hole,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v12,Samsung
non-expensive,84.0,Yes,Yes,No,No,No,No,Helio,95,8.0,2.05,Unknown,8.0,256.0,High-End,4700.0,33,6.7,1080.0,2340.0,90.0,Punch Hole,50.0,3.0,48.0,2.0,Yes,1 TB,Android,v12,Tecno
non-expensive,84.0,Yes,Yes,Yes,No,Yes,No,Dimensity,1300,8.0,2.4,Unknown,8.0,128.0,High-End,4500.0,80,6.43,1080.0,2400.0,90.0,Punch Hole,50.0,3.0,32.0,1.0,Yes,1 TB,Android,v12,OnePlus
expensive,86.0,Yes,Yes,Yes,No,Yes,No,Dimensity,8100,8.0,2.85,Unknown,12.0,256.0,Flagship,4500.0,80,6.7,1080.0,2412.0,120.0,Punch Hole,50.0,3.0,32.0,1.0,Yes,1 TB,Android,v12,OPPO
non-expensive,82.0,Yes,Yes,No,No,No,No,Snapdragon,680,8.0,2.4,Mid-Range,8.0,128.0,High-End,5000.0,44,6.44,1080.0,2408.0,60.0,Water Drop Notch,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Vivo
non-expensive,82.0,Yes,Yes,Yes,No,No,No,Exynos,1330,8.0,2.4,Unknown,8.0,128.0,High-End,5000.0,15,6.6,1080.0,2408.0,90.0,Water Drop Notch,50.0,3.0,13.0,1.0,Yes,1 TB,Android,v13,Samsung
non-expensive,77.0,Yes,Yes,Yes,No,No,Yes,Dimensity,810,8.0,2.4,Unknown,4.0,128.0,Mid-Range,5000.0,33,6.6,1080.0,2400.0,90.0,Punch Hole,50.0,2.0,16.0,1.0,Yes,512 GB,Android,v11,Xiaomi
non-expensive,74.0,Yes,Yes,No,No,No,Yes,Helio,99,8.0,2.2,Mid-Range,4.0,64.0,Mid-Range,5000.0,18,6.58,1080.0,2400.0,90.0,Water Drop Notch,50.0,3.0,8.0,1.0,Yes,512 GB,Android,v12,Xiaomi
non-expensive,81.0,Yes,Yes,Yes,No,No,No,Snapdragon,870,8.0,3.2,Flagship,8.0,128.0,High-End,5000.0,80,6.62,1080.0,2400.0,120.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Realme
non-expensive,82.0,Yes,Yes,No,No,No,No,Helio,96,8.0,2.05,Unknown,8.0,128.0,High-End,4050.0,44,6.44,1080.0,2400.0,60.0,Water Drop Notch,50.0,3.0,44.0,1.0,Yes,1 TB,Android,v12,Vivo
non-expensive,75.0,Yes,Yes,No,No,No,No,Other,2,8.0,2.4,Unknown,4.0,128.0,Mid-Range,5000.0,25,6.6,1080.0,2408.0,60.0,Water Drop Notch,50.0,1.0,8.0,1.0,Yes,1 TB,Android,v12,Samsung
expensive,86.0,Yes,Yes,Yes,No,No,No,Dimensity,1300,8.0,2.4,Unknown,12.0,256.0,Flagship,4830.0,66,6.56,1080.0,2376.0,120.0,Punch Hole,64.0,3.0,32.0,1.0,Yes,1 TB,Android,v12,Vivo
non-expensive,73.0,Yes,Yes,No,No,No,No,Other,612,8.0,1.82,Unknown,4.0,64.0,Mid-Range,5000.0,18,6.6,1080.0,2408.0,60.0,Water Drop Notch,50.0,3.0,8.0,1.0,Yes,1 TB,Android,v11,Realme Narzo
expensive,88.0,Yes,Yes,Yes,No,Yes,No,Exynos,2100,8.0,2.9,Unknown,8.0,128.0,High-End,4000.0,25,6.2,1080.0,2400.0,120.0,Punch Hole,64.0,3.0,10.0,1.0,Yes,1 TB,Android,v12,Samsung
non-expensive,79.0,Yes,Yes,Yes,No,No,No,Dimensity,700,8.0,2.2,Unknown,6.0,128.0,Mid-Range,5000.0,15,6.6,1080.0,2408.0,90.0,Water Drop Notch,48.0,3.0,8.0,1.0,Yes,1 TB,Android,v11,Samsung
non-expensive,79.0,Yes,Yes,Yes,No,No,No,Dimensity,810,8.0,2.4,Unknown,6.0,128.0,Mid-Range,5000.0,33,6.6,1080.0,2400.0,90.0,Punch Hole,48.0,3.0,16.0,1.0,Yes,1 TB,Android,v11,Realme Narzo
non-expensive,80.0,Yes,Yes,No,No,No,No,Other,1,8.0,2.4,Unknown,0.05,0.05,Budget,2500.0,0,1.8,480.0,640.0,60.0,No Notch,2.0,1.0,16.0,0.0,Yes,48 GB,Android,v12,BlackZone
non-expensive,86.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,870,8.0,3.2,Unknown,12.0,256.0,Flagship,4500.0,67,6.67,1080.0,2400.0,120.0,Punch Hole,64.0,3.0,20.0,1.0,Yes,1 TB,Android,v12,Poco
expensive,83.0,Yes,Yes,Yes,No,Yes,No,Bionic,15,6.0,3.22,Unknown,6.0,512.0,Mid-Range,4325.0,0,6.7,1284.0,2778.0,60.0,Small Notch,12.0,2.0,12.0,1.0,No,1 TB,iOS,v16,Apple
non-expensive,74.0,Yes,Yes,No,No,No,No,Helio,96,8.0,2.4,Unknown,4.0,64.0,Mid-Range,5000.0,33,6.6,1080.0,2412.0,120.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,256 GB,Android,v11,Realme Narzo
expensive,78.0,Yes,Yes,No,No,Yes,No,Snapdragon,710,8.0,2.2,High-End,6.0,128.0,Mid-Range,3400.0,0,6.4,1080.0,2340.0,60.0,Punch Hole,24.0,3.0,24.0,1.0,Yes,512 GB,Android,v9.0,Samsung
non-expensive,61.0,Yes,Yes,No,No,No,No,Helio,22,4.0,2.4,Unknown,3.0,32.0,Budget,5000.0,10,6.52,720.0,1600.0,60.0,Water Drop Notch,8.0,1.0,5.0,1.0,Yes,512 GB,Android,v12,Poco
expensive,86.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,8,8.0,3.2,Unknown,12.0,256.0,Flagship,5000.0,135,6.8,1080.0,2400.0,120.0,No Notch,64.0,3.0,8.0,1.0,Yes,1 TB,Android,v12,Nubia
non-expensive,82.0,Yes,Yes,Yes,No,No,No,Snapdragon,778,8.0,2.4,Unknown,8.0,128.0,High-End,5000.0,30,6.6,1080.0,2412.0,144.0,Punch Hole,48.0,3.0,16.0,1.0,Yes,1 TB,Android,v11,Realme
non-expensive,78.0,Yes,Yes,Yes,No,No,Yes,Dimensity,720,8.0,2.4,Unknown,6.0,64.0,Mid-Range,5000.0,33,6.52,1080.0,2400.0,90.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,512 GB,Android,v12,Xiaomi
non-expensive,86.0,Yes,Yes,Yes,No,No,Yes,Dimensity,1080,8.0,2.6,Unknown,8.0,256.0,High-End,4980.0,120,6.67,1080.0,2400.0,120.0,Punch Hole,200.0,3.0,16.0,1.0,No,1 TB,Android,v12,Xiaomi
non-expensive,80.0,Yes,Yes,No,No,No,No,Snapdragon,215,4.0,1.3,Unknown,4.0,0.5,Mid-Range,1450.0,0,2.7,240.0,320.0,60.0,No Notch,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v12,Nokia
expensive,85.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,870,8.0,3.2,Unknown,8.0,128.0,High-End,4500.0,65,6.55,1080.0,2400.0,120.0,Punch Hole,50.0,3.0,32.0,1.0,Yes,1 TB,Android,v12,Realme
non-expensive,72.0,Yes,Yes,No,No,No,No,Snapdragon,675,8.0,2.4,Unknown,4.0,64.0,Mid-Range,5000.0,18,6.53,1080.0,2340.0,60.0,Water Drop Notch,16.0,3.0,16.0,1.0,Yes,256 GB,Android,v9.0,Vivo
non-expensive,85.0,Yes,Yes,Yes,No,Yes,Yes,Snapdragon,7 Gen1,8.0,2.4,High-End,8.0,128.0,High-End,4500.0,67,6.55,1080.0,2400.0,120.0,Punch Hole,50.0,3.0,32.0,2.0,Yes,1 TB,Android,v12,Xiaomi
expensive,80.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,8,8.0,3.2,Flagship,12.0,256.0,Flagship,4730.0,80,8.03,1916.0,2160.0,120.0,Punch Hole,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v12,Vivo
non-expensive,80.0,Yes,No,No,No,No,No,Other,6531,8.0,2.4,Unknown,0.03,0.03,Budget,1900.0,0,2.8,240.0,320.0,60.0,No Notch,3.0,1.0,16.0,0.0,Yes,64 GB,Android,v12,DIZO
expensive,89.0,Yes,Yes,Yes,No,Yes,No,Exynos,990,8.0,2.73,Unknown,8.0,128.0,High-End,4000.0,25,6.2,1440.0,3200.0,60.0,Punch Hole,64.0,3.0,10.0,1.0,Yes,1 TB,Android,v10.0,Samsung
non-expensive,77.0,Yes,Yes,No,No,No,No,Snapdragon,732,8.0,2.3,Unknown,4.0,64.0,Mid-Range,6000.0,20,6.78,1080.0,2460.0,120.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,256 GB,Android,v11,Motorola
expensive,83.0,Yes,Yes,Yes,No,Yes,No,Dimensity,8100,8.0,2.85,Unknown,8.0,128.0,High-End,5000.0,80,6.7,1080.0,2412.0,120.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Realme
non-expensive,78.0,Yes,Yes,Yes,No,No,No,Snapdragon,695,8.0,2.2,Unknown,4.0,128.0,Mid-Range,5000.0,18,6.58,1080.0,2412.0,120.0,Water Drop Notch,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,iQOO
non-expensive,81.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,695,8.0,2.2,Unknown,6.0,128.0,Mid-Range,4500.0,20,6.58,1080.0,2400.0,120.0,Water Drop Notch,50.0,3.0,8.0,1.0,Yes,1 TB,Android,v12,Nokia
expensive,80.0,Yes,Yes,Yes,No,Yes,No,Bionic,15,6.0,3.22,Unknown,6.0,64.0,Unknown,5000.0,0,6.58,1080.0,2400.0,90.0,Unknown,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v12,Apple
non-expensive,80.0,Yes,Yes,No,No,No,No,Snapdragon,680,8.0,2.4,Mid-Range,8.0,128.0,High-End,5000.0,33,6.59,1080.0,2412.0,90.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v11,OPPO
non-expensive,72.0,Yes,Yes,No,No,No,No,Helio,35,8.0,2.3,Unknown,6.0,128.0,Mid-Range,5000.0,0,6.53,720.0,1600.0,60.0,Water Drop Notch,13.0,2.0,5.0,1.0,Yes,512 GB,Android,v11,Xiaomi
expensive,87.0,Yes,Yes,Yes,No,Yes,Yes,Dimensity,8100,8.0,2.85,Unknown,8.0,128.0,High-End,5000.0,120,6.67,1220.0,2712.0,120.0,Punch Hole,108.0,3.0,20.0,1.0,Yes,1 TB,Android,v12,Xiaomi
non-expensive,78.0,Yes,Yes,No,No,No,Yes,Snapdragon,678,8.0,2.2,Mid-Range,6.0,128.0,Mid-Range,5000.0,33,6.43,1080.0,2400.0,60.0,Punch Hole,48.0,1.0,13.0,1.0,Yes,512 GB,Android,v11,Xiaomi
non-expensive,60.0,Yes,Yes,No,No,No,No,Snapdragon,615,8.0,1.5,Mid-Range,3.0,32.0,Budget,3500.0,0,5.5,1080.0,1920.0,60.0,No Notch,13.0,2.0,5.0,1.0,Yes,64 GB,Android,v5.1.1,Lyf
non-expensive,79.0,Yes,Yes,Yes,No,No,No,Snapdragon,870,8.0,3.2,Flagship,6.0,128.0,Mid-Range,5000.0,80,6.62,1080.0,2400.0,120.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Realme
non-expensive,85.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,888,8.0,2.84,Unknown,8.0,128.0,High-End,4500.0,65,6.43,1080.0,2400.0,120.0,Punch Hole,64.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,Realme
expensive,77.0,Yes,Yes,Yes,No,Yes,No,Bionic,16,6.0,2.4,Unknown,6.0,1024.0,Mid-Range,3200.0,0,6.1,1179.0,2556.0,120.0,No Notch,48.0,3.0,12.0,1.0,No,1 TB,iOS,v16,Apple
non-expensive,79.0,Yes,Yes,Yes,No,No,No,Dimensity,810,8.0,2.4,Unknown,6.0,128.0,Mid-Range,5000.0,18,6.5,1080.0,2400.0,90.0,Punch Hole,48.0,3.0,16.0,1.0,Yes,1 TB,Android,v11,Realme
non-expensive,66.0,Yes,Yes,No,No,No,No,Helio,25,8.0,2.4,Unknown,4.0,64.0,Mid-Range,5000.0,0,6.53,720.0,1600.0,60.0,Water Drop Notch,13.0,1.0,5.0,1.0,Yes,512 GB,Android,v11,Xiaomi
non-expensive,71.0,Yes,Yes,No,No,No,No,Snapdragon,680,8.0,2.4,Mid-Range,4.0,64.0,Mid-Range,6000.0,18,6.7,720.0,1600.0,60.0,Water Drop Notch,50.0,2.0,5.0,1.0,Yes,512 GB,Android,v11,Xiaomi
non-expensive,60.0,Yes,Yes,No,No,No,No,Other,612,8.0,1.82,Unknown,3.0,32.0,Budget,5000.0,0,6.5,720.0,1600.0,60.0,Water Drop Notch,8.0,1.0,5.0,1.0,Yes,1 TB,Android,v11,Realme
non-expensive,80.0,Yes,Yes,No,No,No,No,Unisoc,9863,8.0,1.6,Unknown,2.0,32.0,Budget,5000.0,10,6.5,720.0,1600.0,60.0,Water Drop Notch,8.0,1.0,5.0,1.0,Yes,1 TB,Android,v12,Realme
expensive,76.0,No,Yes,Yes,No,No,No,Snapdragon,775,8.0,2.4,High-End,6.0,64.0,Mid-Range,6000.0,33,6.81,1080.0,2400.0,60.0,Punch Hole,108.0,1.0,32.0,1.0,Yes,1 TB,Android,v11,Nokia
expensive,85.0,Yes,Yes,Yes,No,Yes,No,Dimensity,8100,8.0,2.85,Unknown,8.0,256.0,High-End,4500.0,80,6.7,1080.0,2412.0,120.0,Punch Hole,50.0,3.0,32.0,1.0,Yes,1 TB,Android,v12,Oppo
expensive,84.0,Yes,Yes,Yes,No,No,No,Snapdragon,888,8.0,2.9,Unknown,8.0,128.0,High-End,4350.0,120,6.56,1080.0,2376.0,120.0,Punch Hole,48.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,iQOO
expensive,88.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,8 Gen1,8.0,2.4,Flagship,8.0,256.0,High-End,4700.0,120,6.78,1440.0,3200.0,120.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,iQOO
non-expensive,70.0,Yes,Yes,No,No,No,No,Helio,35,8.0,2.3,Unknown,4.0,64.0,Mid-Range,5000.0,33,6.56,720.0,1600.0,60.0,Water Drop Notch,50.0,1.0,8.0,1.0,Yes,1 TB,Android,v12,OPPO
non-expensive,86.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,778,8.0,2.5,High-End,8.0,256.0,High-End,4500.0,33,6.55,1080.0,2400.0,120.0,Punch Hole,50.0,2.0,16.0,1.0,Yes,1 TB,Android,v12,Nothing
non-expensive,79.0,Yes,Yes,No,No,No,No,Helio,96,8.0,2.05,Unknown,8.0,128.0,High-End,5000.0,33,6.7,1080.0,2400.0,60.0,Punch Hole,50.0,2.0,16.0,1.0,Yes,1 TB,Android,v12,Infinix
expensive,85.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,888,8.0,2.84,Unknown,8.0,128.0,High-End,4500.0,0,6.62,1080.0,2400.0,120.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,1 TB,Android,v12,OnePlus
non-expensive,77.0,Yes,Yes,No,No,No,No,Helio,96,8.0,2.05,Unknown,6.0,128.0,Mid-Range,5000.0,18,6.6,1080.0,2412.0,120.0,Punch Hole,50.0,3.0,16.0,1.0,Yes,256 GB,Android,v11,Realme
expensive,82.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,8 Gen2,8.0,3.2,Unknown,8.0,128.0,High-End,5000.0,80,6.67,1080.0,2400.0,144.0,Punch Hole,64.0,2.0,16.0,1.0,Yes,1 TB,Android,v12,Nubia
expensive,80.0,Yes,Yes,Yes,No,Yes,Yes,Kirin,990,8.0,2.86,Unknown,8.0,512.0,High-End,4500.0,55,8.0,2200.0,2480.0,60.0,No Notch,50.0,0.0,16.0,0.0,Yes,1 TB,Android,v12,Huawei
expensive,89.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,8 Gen2,8.0,3.2,Flagship,12.0,256.0,Flagship,5000.0,100,6.7,1440.0,3216.0,120.0,Punch Hole,50.0,3.0,16.0,1.0,No,1 TB,Android,v13,OnePlus
non-expensive,82.0,Yes,Yes,Yes,No,No,No,Dimensity,900,8.0,2.4,Unknown,8.0,128.0,High-End,5000.0,66,6.0,1080.0,2400.0,120.0,Punch Hole,50.0,3.0,50.0,2.0,No,1 TB,Android,v12,Vivo
expensive,84.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,695,8.0,2.2,Mid-Range,8.0,128.0,High-End,4020.0,68,6.28,1080.0,2400.0,120.0,Punch Hole,64.0,2.0,32.0,1.0,Yes,1 TB,Android,v12,Motorola
non-expensive,84.0,Yes,Yes,Yes,No,Yes,No,Dimensity,1300,8.0,2.4,Unknown,8.0,128.0,High-End,4500.0,80,6.43,1080.0,2400.0,90.0,Punch Hole,50.0,3.0,32.0,1.0,Yes,1 TB,Android,v12,OnePlus
expensive,85.0,Yes,Yes,Yes,No,No,No,Snapdragon,765,8.0,2.4,High-End,8.0,128.0,High-End,4300.0,33,6.44,1080.0,2400.0,60.0,Small Notch,64.0,1.0,44.0,2.0,Yes,1 TB,Android,v12,Vivo
expensive,87.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,8 Gen1,8.0,2.4,Unknown,8.0,256.0,High-End,3700.0,25,6.1,1080.0,2340.0,120.0,Punch Hole,50.0,3.0,10.0,1.0,Yes,1 TB,Android,v12,Samsung
expensive,89.0,Yes,Yes,Yes,No,Yes,No,Snapdragon,888,8.0,2.84,Unknown,16.0,512.0,Flagship,5000.0,120,6.5,1080.0,2400.0,144.0,No Notch,64.0,2.0,20.0,1.0,Yes,1 TB,Android,v12,Lenovo
